sal_code,muni_code
1670011,WC024
1670012,WC024
1670013,WC024
1670014,WC024
1670015,WC024
1670016,WC024
1670017,WC024
1670018,WC024
1670019,WC024
1670020,WC024
1670021,WC024
1670022,WC024
1670023,WC024
1670024,WC024
1670025,WC024
1670026,WC024
1670027,WC024
1670028,WC024
1670029,WC024
1670030,WC024
1670031,WC024
1670032,WC024
1670033,WC024
1670034,WC024
1670035,WC024
1670036,WC024
1670037,WC024
1670038,WC024
1670039,WC024
1670040,WC024
1670041,WC024
1670042,WC024
1670043,WC024
1670044,WC024
1670045,WC024
1670046,WC024
1670047,WC024
1670048,WC024
1670049,WC024
1670050,WC024
1670051,WC024
1670052,WC024
1670053,WC024
1670054,WC024
1670055,WC024
1670056,WC024
1670057,WC024
1670058,WC024
1670059,WC024
1670060,WC024
1670061,WC024
1670062,WC024
1670063,WC024
1670064,WC024
1670065,WC024
1670066,WC024
1670067,WC024
1670068,WC024
1670069,WC024
1670070,WC024
1670071,WC024
1670072,WC024
1670073,WC024
1670074,WC024
1670075,WC024
1670076,WC024
1670077,WC024
1670078,WC024
1670079,WC024
1670080,WC024
1670081,WC024
1670082,WC024
1670083,WC024
1670084,WC024
1670085,WC024
1670086,WC024
1670087,WC024
1670088,WC024
1670089,WC024
1670090,WC024
1670091,WC024
1670092,WC024
1670093,WC024
1670094,WC024
1670095,WC024
1670096,WC024
1670097,WC024
1670098,WC024
1670099,WC024
1670100,WC024
1670101,WC024
1670102,WC024
1670103,WC024
1670104,WC024
1670105,WC024
1670106,WC024
1670107,WC024
1670108,WC024
1670109,WC024
1670110,WC024
1670111,WC024
1670112,WC024
1670113,WC024
1670114,WC024
1670115,WC024
1670116,WC024
1670117,WC024
1670118,WC024
1670119,WC024
1670120,WC024
1670121,WC024
1670122,WC024
1670123,WC024
1670124,WC024
1670125,WC024
1670126,WC024
1670127,WC024
1670128,WC024
1670129,WC024
1670130,WC024
1670131,WC024
1670132,WC024
1670133,WC024
1670134,WC024
1670135,WC024
1670136,WC024
1670137,WC024
1670138,WC024
1670139,WC024
1670140,WC024
1670141,WC024
1670142,WC024
1670143,WC024
1670144,WC024
1670145,WC024
1670146,WC024
1670147,WC024
1670148,WC024
1670149,WC024
1670150,WC024
1670151,WC024
1670152,WC024
1670153,WC024
1670154,WC024
1670155,WC024
1670156,WC024
1670157,WC024
1670158,WC024
1670159,WC024
1670160,WC024
1670161,WC024
1670162,WC024
1670163,WC024
1670164,WC024
1670165,WC024
1670166,WC024
1670167,WC024
1670168,WC024
1670169,WC024
1670170,WC024
1670171,WC024
1670172,WC024
1670173,WC024
1670174,WC024
1670175,WC024
1670176,WC024
1670177,WC024
1670178,WC024
1670179,WC024
1670180,WC024
1670181,WC024
1670182,WC024
1670183,WC024
1670184,WC024
1670185,WC024
1670186,WC024
1670187,WC024
1670188,WC024
1670189,WC024
1670190,WC024
1670191,WC024
1670192,WC024
1670193,WC024
1670194,WC024
1670195,WC024
1670196,WC024
1670197,WC024
1670198,WC024
1670199,WC024
1670200,WC024
1670201,WC024
1670202,WC024
1670203,WC024
1670204,WC024
1670205,WC024
1670206,WC024
1670207,WC024
1670208,WC024
1670209,WC024
1670210,WC024
1670211,WC024
1670212,WC024
1670213,WC024
1670214,WC024
1670215,WC024
1670216,WC024
1670217,WC024
1670218,WC024
1670219,WC024
1670220,WC024
1670221,WC024
1670222,WC024
1670223,WC024
1670224,WC024
1670225,WC024
1670226,WC024
1670227,WC024
1670228,WC024
1670229,WC024
1670230,WC024
1670231,WC024
1670232,WC024
1680001,WC025
1680002,WC025
1680003,WC025
1680004,WC025
1680005,WC025
1680006,WC025
1680007,WC025
1680008,WC025
1680009,WC025
1680010,WC025
1680011,WC025
1680012,WC025
1680013,WC025
1680014,WC025
1680015,WC025
1680016,WC025
1680017,WC025
1680018,WC025
1680019,WC025
1680020,WC025
1680021,WC025
1680022,WC025
1680023,WC025
1680024,WC025
1680025,WC025
1680026,WC025
1680027,WC025
1680028,WC025
1680029,WC025
1680030,WC025
1680031,WC025
1680032,WC025
1680033,WC025
1680034,WC025
1680035,WC025
1680036,WC025
1680037,WC025
1680038,WC025
1680039,WC025
1680040,WC025
1680041,WC025
1680042,WC025
1680043,WC025
1680044,WC025
1680045,WC025
1680046,WC025
1680047,WC025
1680048,WC025
1680049,WC025
1680050,WC025
1680051,WC025
1680052,WC025
1680053,WC025
1680054,WC025
1680055,WC025
1680056,WC025
1680057,WC025
1680058,WC025
1680059,WC025
1680060,WC025
1680061,WC025
1680062,WC025
1680063,WC025
1680064,WC025
1680065,WC025
1680066,WC025
1680067,WC025
1680068,WC025
1680069,WC025
1680070,WC025
1680071,WC025
1680072,WC025
1680073,WC025
1680074,WC025
1680075,WC025
1680076,WC025
1680077,WC025
1680078,WC025
1680079,WC025
1680080,WC025
1680081,WC025
1680082,WC025
1680083,WC025
1680084,WC025
1680085,WC025
1680086,WC025
1680087,WC025
1680088,WC025
1680089,WC025
1680090,WC025
1680091,WC025
1680092,WC025
1680093,WC025
1680094,WC025
1680095,WC025
1680096,WC025
1680097,WC025
1680098,WC025
1680099,WC025
1680100,WC025
1680101,WC025
1680102,WC025
1680103,WC025
1680104,WC025
1680105,WC025
1680106,WC025
1680107,WC025
1680108,WC025
1680109,WC025
1680110,WC025
1680111,WC025
1680112,WC025
1680113,WC025
1680114,WC025
1680115,WC025
1680116,WC025
1680117,WC025
1680118,WC025
1680119,WC025
1680120,WC025
1680121,WC025
1680122,WC025
1680123,WC025
1680124,WC025
1680125,WC025
1680126,WC025
1680127,WC025
1680128,WC025
1680129,WC025
1680130,WC025
1680131,WC025
1680132,WC025
1680133,WC025
1680134,WC025
1680135,WC025
1680136,WC025
1680137,WC025
1680138,WC025
1680139,WC025
1680140,WC025
1680141,WC025
1680142,WC025
1680143,WC025
1680144,WC025
1680145,WC025
1680146,WC025
1680147,WC025
1680148,WC025
1680149,WC025
1680150,WC025
1680151,WC025
1680152,WC025
1680153,WC025
1680154,WC025
1680155,WC025
1680156,WC025
1680157,WC025
1680158,WC025
1680159,WC025
1680160,WC025
1680161,WC025
1680162,WC025
1680163,WC025
1680164,WC025
1680165,WC025
1680166,WC025
1680167,WC025
1680168,WC025
1680169,WC025
1680170,WC025
1680171,WC025
1680172,WC025
1680173,WC025
1680174,WC025
1680175,WC025
1680176,WC025
1680177,WC025
1680178,WC025
1680179,WC025
1680180,WC025
1680181,WC025
1680182,WC025
1680183,WC025
1680184,WC025
1680185,WC025
1690001,WC026
1690002,WC026
1690003,WC026
1690004,WC026
1690005,WC026
1690006,WC026
1690007,WC026
1690008,WC026
1690009,WC026
1690010,WC026
1690011,WC026
1690012,WC026
1690013,WC026
1690014,WC026
1690015,WC026
1690016,WC026
1690017,WC026
1690018,WC026
1690019,WC026
1690020,WC026
1690021,WC026
1690022,WC026
1690023,WC026
1690024,WC026
1690025,WC026
1690026,WC026
1690027,WC026
1690028,WC026
1690029,WC026
1690030,WC026
1690031,WC026
1690032,WC026
1690033,WC026
1690034,WC026
1690035,WC026
1690036,WC026
1690037,WC026
1690038,WC026
1690039,WC026
1690040,WC026
1690041,WC026
1690042,WC026
1690043,WC026
1690044,WC026
1690045,WC026
1690046,WC026
1690047,WC026
1690048,WC026
1690049,WC026
1690050,WC026
1690051,WC026
1690052,WC026
1690053,WC026
1690054,WC026
1690055,WC026
1690056,WC026
1690057,WC026
1690058,WC026
1690059,WC026
1690060,WC026
1690061,WC026
1690062,WC026
1690063,WC026
1690064,WC026
1690065,WC026
1690066,WC026
1690067,WC026
1690068,WC026
1690069,WC026
1690070,WC026
1690071,WC026
1690072,WC026
1690073,WC026
1690074,WC026
1690075,WC026
1690076,WC026
1690077,WC026
1690078,WC026
1690079,WC026
1690080,WC026
1690081,WC026
1690082,WC026
1690083,WC026
1690084,WC026
1690085,WC026
1690086,WC026
1690087,WC026
1690088,WC026
1690089,WC026
1690090,WC026
1690091,WC026
1690092,WC026
1690093,WC026
1690094,WC026
1690095,WC026
1690096,WC026
1690097,WC026
1690098,WC026
1690099,WC026
1690100,WC026
1690101,WC026
1690102,WC026
1690103,WC026
1690104,WC026
1690105,WC026
1690106,WC026
1690107,WC026
1690108,WC026
1690109,WC026
1690110,WC026
1690111,WC026
1690112,WC026
1690113,WC026
1690114,WC026
1690115,WC026
1690116,WC026
1690117,WC026
1690118,WC026
1690119,WC026
1690120,WC026
1690121,WC026
1690122,WC026
1700001,WC034
1700002,WC034
1700003,WC034
1700004,WC034
1700005,WC034
1700006,WC034
1700007,WC034
1700008,WC034
1700009,WC034
1700010,WC034
1700011,WC034
1700012,WC034
1700013,WC034
1700014,WC034
1700015,WC034
1700016,WC034
1700017,WC034
1700018,WC034
1700019,WC034
1700020,WC034
1700021,WC034
1700022,WC034
1700023,WC034
1700024,WC034
1700025,WC034
1700026,WC034
1700027,WC034
1700028,WC034
1700029,WC034
1700030,WC034
1700031,WC034
1700032,WC034
1700033,WC034
1700034,WC034
1700035,WC034
1700036,WC034
1700037,WC034
1700038,WC034
1700039,WC034
1700040,WC034
1700041,WC034
1700042,WC034
1700043,WC034
1700044,WC034
1700045,WC034
1700046,WC034
1700047,WC034
1700048,WC034
1700049,WC034
1700050,WC034
1700051,WC034
1700052,WC034
1700053,WC034
1700054,WC034
1700055,WC034
1700056,WC034
1700057,WC034
1700058,WC034
1700059,WC034
1700060,WC034
1700061,WC034
1700062,WC034
1700063,WC034
1700064,WC034
1700065,WC034
1710001,WC031
1710002,WC031
1710003,WC031
1710004,WC031
1710005,WC031
1710006,WC031
1710007,WC031
1710008,WC031
1710009,WC031
1710010,WC031
1710011,WC031
1710012,WC031
1710013,WC031
1710014,WC031
1710015,WC031
1710016,WC031
1710017,WC031
1710018,WC031
1710019,WC031
1710020,WC031
1710021,WC031
1710022,WC031
1710023,WC031
1710024,WC031
1710025,WC031
1710026,WC031
1710027,WC031
1710028,WC031
1710029,WC031
1710030,WC031
1710031,WC031
1710032,WC031
1710033,WC031
1710034,WC031
1710035,WC031
1710036,WC031
1710037,WC031
1710038,WC031
1710039,WC031
1710040,WC031
1710041,WC031
1710042,WC031
1710043,WC031
1710044,WC031
1710045,WC031
1710046,WC031
1710047,WC031
1710048,WC031
1710049,WC031
1710050,WC031
1710051,WC031
1710052,WC031
1710053,WC031
1710054,WC031
1710055,WC031
1710056,WC031
1710057,WC031
1710058,WC031
1710059,WC031
1710060,WC031
1710061,WC031
1710062,WC031
1710063,WC031
1710064,WC031
1710065,WC031
1710066,WC031
1710067,WC031
1710068,WC031
1710069,WC031
1710070,WC031
1710071,WC031
1710072,WC031
1710073,WC031
1710074,WC031
1710075,WC031
1710076,WC031
1710077,WC031
1710078,WC031
1710079,WC031
1710080,WC031
1710081,WC031
1710082,WC031
1710083,WC031
1710084,WC031
1710085,WC031
1710086,WC031
1710087,WC031
1710088,WC031
1710089,WC031
1710090,WC031
1710091,WC031
1710092,WC031
1710093,WC031
1710094,WC031
1710095,WC031
1710096,WC031
1710097,WC031
1710098,WC031
1710099,WC031
1710100,WC031
1710101,WC031
1710102,WC031
1710103,WC031
1710104,WC031
1710105,WC031
1710106,WC031
1710107,WC031
