Name ,Sex,Age,2022,2023,2024,2025,2026
WC- Garden Route (DC4),Female,60-64,14749.958305,15128.316887,15498.013446,15897.975285,16290.831962
WC- Garden Route (DC4),Female,65-69,11984.706076,12298.874604,12601.000270,12926.721322,13273.527239
WC- Garden Route (DC4),Female,70-74,9649.717610,9778.821257,9961.537437,10169.160931,10395.714504
WC- Garden Route (DC4),Female,75-79,7196.329340,7488.436862,7730.316975,7919.277195,8038.103588
WC- Garden Route (DC4),Female,80+,6532.422005,6995.025773,7500.133646,8035.556653,8603.064366
WC - Central Karoo District Municipality (DC5),Male,0-4,3508.201419,3484.451837,3497.436344,3541.720472,3605.586634
WC - Central Karoo District Municipality (DC5),Male,5-9,3679.392058,3632.618319,3568.817986,3504.651134,3464.140681
WC - Central Karoo District Municipality (DC5),Male,10-14,3677.316368,3678.357004,3679.766062,3665.953398,3626.669291
WC - Central Karoo District Municipality (DC5),Male,15-19,3200.723844,3287.166696,3356.715085,3418.830937,3466.906333
WC - Central Karoo District Municipality (DC5),Male,20-24,2939.171752,2900.117380,2870.840838,2865.902285,2891.871255
WC - Central Karoo District Municipality (DC5),Male,25-29,2867.822871,2851.082132,2861.066701,2865.270152,2847.630607
WC - Central Karoo District Municipality (DC5),Male,30-34,2888.709444,2874.417851,2823.732873,2767.448863,2728.017323
WC - Central Karoo District Municipality (DC5),Male,35-39,2392.067713,2506.223310,2635.965823,2746.560206,2791.459407
WC - Central Karoo District Municipality (DC5),Male,40-44,1899.566352,1951.319744,2001.037418,2057.078077,2145.675508
WC - Central Karoo District Municipality (DC5),Male,45-49,1616.749790,1617.134649,1639.793877,1678.199837,1730.052058
WC - Central Karoo District Municipality (DC5),Male,50-54,1603.895721,1579.439438,1535.002321,1494.286580,1460.887620
WC - Central Karoo District Municipality (DC5),Male,55-59,1373.421380,1405.226345,1441.065423,1463.273019,1468.992655
WC - Central Karoo District Municipality (DC5),Male,60-64,1238.313266,1228.449746,1220.118695,1224.350481,1241.219242
WC - Central Karoo District Municipality (DC5),Male,65-69,976.231660,996.476760,1016.382892,1031.398349,1040.672112
WC - Central Karoo District Municipality (DC5),Male,70-74,741.731355,742.313130,744.072906,751.148375,761.490085
WC - Central Karoo District Municipality (DC5),Male,75-79,527.984358,547.598816,562.514580,569.710952,566.774093
WC - Central Karoo District Municipality (DC5),Male,80+,674.170434,678.077945,685.047764,695.529451,708.722513
WC - Central Karoo District Municipality (DC5),Female,0-4,3532.492123,3504.295611,3518.473049,3565.768563,3633.128102
WC - Central Karoo District Municipality (DC5),Female,5-9,3859.690391,3813.501661,3754.219175,3701.839520,3682.247102
WC - Central Karoo District Municipality (DC5),Female,10-14,3954.253763,3948.082878,3949.562442,3933.072106,3889.924531
WC - Central Karoo District Municipality (DC5),Female,15-19,3795.289627,3839.772080,3853.845355,3873.658458,3896.456892
WC - Central Karoo District Municipality (DC5),Female,20-24,3266.660422,3283.106401,3317.045717,3363.430201,3420.979304
WC - Central Karoo District Municipality (DC5),Female,25-29,2915.177901,2923.659088,2953.441882,2975.776533,2983.924418
WC - Central Karoo District Municipality (DC5),Female,30-34,2895.147724,2862.797433,2806.005789,2759.888719,2738.438233
WC - Central Karoo District Municipality (DC5),Female,35-39,2347.584977,2487.190121,2622.242843,2716.300606,2738.095124
WC - Central Karoo District Municipality (DC5),Female,40-44,1984.694480,2008.000930,2054.250477,2128.013057,2230.325363
WC - Central Karoo District Municipality (DC5),Female,45-49,1969.155062,1927.182298,1887.077239,1859.589990,1860.543916
WC - Central Karoo District Municipality (DC5),Female,50-54,1970.939523,1950.900294,1930.165065,1908.076342,1886.054317
WC - Central Karoo District Municipality (DC5),Female,55-59,1907.106258,1904.199490,1898.512406,1884.149114,1863.331476
WC - Central Karoo District Municipality (DC5),Female,60-64,1678.732182,1698.890915,1715.786756,1733.685803,1748.621808
WC - Central Karoo District Municipality (DC5),Female,65-69,1389.228949,1412.184476,1431.314201,1450.405317,1469.114734
WC - Central Karoo District Municipality (DC5),Female,70-74,1130.209880,1139.217209,1151.281420,1163.805657,1176.448644
WC - Central Karoo District Municipality (DC5),Female,75-79,825.376627,868.434975,902.676462,926.281603,936.092458
WC - Central Karoo District Municipality (DC5),Female,80+,820.019566,874.463125,934.230899,997.753572,1065.220160
WC - City of Cape Town Metropolitan Municipality,Male,0-4,188622.192333,189526.429298,190083.650170,190529.184287,191252.941508
WC - City of Cape Town Metropolitan Municipality,Male,5-9,184040.170577,184250.131479,185189.402404,186884.463622,189094.577113
WC - City of Cape Town Metropolitan Municipality,Male,10-14,193566.534519,193145.896653,191642.490517,189529.296239,187385.038843
WC - City of Cape Town Metropolitan Municipality,Male,15-19,175769.751176,186125.220857,193550.931532,198087.639281,199880.561810
WC - City of Cape Town Metropolitan Municipality,Male,20-24,176595.158824,177182.717906,180468.242257,186348.034857,193538.323466
WC - City of Cape Town Metropolitan Municipality,Male,25-29,206030.384479,202903.542725,201380.786389,200511.735437,200397.776174
