sal_code,pop
"2690019",371
"2690025",428
"2690014",319
"2690032",505
"2690030",485
"2690038",564
"2690049",651
"2690050",663
"2690024",417
"2690028",483
"2690058",757
"2690026",471
"2690037",557
"2690046",642
"2690005",90
"2690051",664
"2690039",568
"2690042",580
"2690045",618
"2690054",683
"2690012",280
"2690003",32
"2690040",568
"2690041",574
"2690057",739
"2690016",345
"2690021",401
"2690022",413
"2690052",666
"2700030",60
"2700001",11
"2700003",12
"2700004",12
"2700005",12
"2700007",16
"2700008",18
"2700009",22
"2700010",24
"2700013",25
"2700015",27
"2700016",28
"2700022",35
"2700023",36
"2700024",38
"2700026",45
"2700029",50
"2700031",60
"2700042",71
"2700044",72
"2700058",86
"2700077",105
"2700171",171
"2700378",290
"2700454",348
"2700422",321
"2700048",76
"2700629",506
"2700243",208
"2700426",323
"2700461",354
"2700120",134
"2700596",469
"2700164",165
"2700589",465
"2700122",136
"2700398",305
"2700573",452
"2700343",266
"2700309",249
"2700251",211
"2700264",217
"2700542",421
"2700244",208
"2700587",463
"2700198",185
"2700050",77
"2700636",517
"2700713",669
"2700047",75
"2700462",355
"2700538",419
"2700579",455
"2700168",168
"2700055",83
"2700624",498
"2700405",311
"2700558",434
"2700484",372
"2700153",158
"2700389",298
"2700627",503
"2700265",217
"2700320",254
"2700681",599
"2700192",183
"2700519",407
"2700435",327
"2700352",271
"2700315",251
"2700012",24
"2700334",261
"2700178",174
"2700704",647
"2700041",70
"2700090",119
"2700664",575
"2700709",660
"2700753",844
"2700524",411
"2700181",178
"2700125",140
"2700157",161
"2700091",119
"2700674",590
"2700611",487
"2700226",199
"2700347",268
"2700652",542
"2700455",349
"2700110",129
"2700729",720
"2700305",247
"2700149",152
"2700078",105
"2700316",252
"2700183",179
"2700319",254
"2700404",311
"2700358",275
"2700400",307
"2700677",593
"2700267",218
"2700657",552
"2700619",494
"2700011",24
"2700537",417
"2700086",115
"2700342",266
"2700142",147
"2700081",110
"2700472",364
"2700481",371
"2700223",198
"2700290",237
"2700535",417
"2700396",304
"2700131",142
"2700413",315
"2700246",209
"2700017",28
"2700160",163
"2700382",291
"2700653",542
"2700388",298
"2700521",408
"2700177",174
"2700566",446
"2700199",186
"2700139",146
"2700212",192
"2700045",73
"2700363",280
"2700632",513
"2700459",353
"2700151",154
"2700588",463
"2700262",217
"2700501",387
"2700578",454
"2700418",320
"2700128",141
"2700061",89
"2700150",153
"2700359",276
"2700025",41
"2700040",70
"2700256",214
"2700419",320
"2700172",172
"2700027",47
"2700487",374
"2700760",938
"2700443",334
"2700747",797
"2700407",313
"2700384",296
"2700238",206
"2700600",474
"2700603",477
"2700544",422
"2700080",110
"2700505",391
"2700712",665
"2700365",281
"2700302",245
"2700755",867
"2700585",462
"2700202",188
"2700374",288
"2700277",226
"2700253",212
"2700646",536
"2700371",284
"2700502",389
"2700551",430
"2700401",307
"2700215",193
"2700523",409
"2700529",414
"2700242",208
"2700514",401
"2700739",767
"2700108",128
"2700612",487
"2700028",50
"2700496",380
"2700250",211
"2700457",351
"2700485",373
"2700296",240
"2700354",273
"2700494",379
"2700673",590
"2700403",309
"2700438",330
"2700598",474
"2700506",391
"2700549",427
"2700019",31
"2700103",126
"2700263",217
"2700640",525
"2700184",179
"2700144",149
"2700608",482
"2700097",123
"2700114",133
"2700230",200
"2700711",661
"2700207",190
"2700489",375
"2700643",527
"2700552",430
"2700631",508
"2700721",690
"2700145",150
"2700429",324
"2700088",118
"2700561",438
"2700098",124
"2700441",332
"2700293",239
"2700488",375
"2700594",468
"2700553",430
"2700495",380
"2700688",614
"2700635",516
"2700094",120
"2700002",11
"2700749",824
"2700518",406
"2700536",417
"2700213",192
"2700750",833
"2700089",118
"2700754",860
"2700456",351
"2700679",594
"2700325",255
"2700655",545
"2700658",553
"2700327",257
"2700565",443
"2700682",604
"2700692",621
"2700067",95
"2700362",278
"2700020",32
"2700726",703
"2700397",304
"2700547",423
"2700740",777
"2700201",187
"2700099",124
"2700052",82
"2700275",225
"2700308",249
"2700105",127
"2700191",182
"2700174",172
"2700152",158
"2700376",289
"2700076",103
"2700205",189
"2700663",570
"2700417",319
"2700346",268
"2700560",438
"2700590",465
"2700463",355
"2700675",592
"2700268",218
"2700112",131
"2700512",397
"2700741",784
"2700146",150
"2700676",593
"2700298",241
"2700735",747
"2700763",1042
"2700270",221
"2700715",670
"2700752",839
"2700728",711
"2700614",489
"2700167",168
"2700273",222
"2700425",323
"2700137",145
"2700216",193
"2700203",188
"2700437",329
"2700574",452
"2700416",318
"2700292",238
"2700550",427
"2700759",912
"2700622",496
"2700289",235
"2700666",577
"2700649",539
"2700698",636
"2700210",191
"2700453",348
"2700533",416
