Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WC - West Coast District Municipality (DC1),Female,25-29,13298.953826,13175.053714,13147.857512,13376.030830,13985.961504,14620.881694,15518.345827,16602.952942,17615.728660,18590.652311,19267.295491,19876.716459,20453.718405,20936.328753,21157.968946,21218.248924,21240.521241,21231.605163,21216.233054,21172.693007
WC - West Coast District Municipality (DC1),Female,30-34,14161.293781,14248.855440,14250.270056,14210.495880,14216.391086,14155.165696,14004.209109,13977.128095,14141.387234,14641.940739,15410.635721,16392.578895,17465.534489,18476.873377,19453.835360,20267.330634,20982.051123,21595.143139,22035.201039,22109.226705
WC - West Coast District Municipality (DC1),Female,35-39,13301.638404,13664.645823,14015.483897,14250.801565,14350.394421,14301.788759,14268.576032,14266.133991,14267.265186,14329.304146,14327.918066,14258.923423,14292.387664,14532.485776,15098.610446,15907.715381,16931.801256,18044.580034,19093.657907,20042.121450
WC - West Coast District Municipality (DC1),Female,40-44,11511.661146,11863.454988,12186.818549,12536.020055,12907.197932,13104.367955,13332.606899,13626.570260,13867.800452,14041.862461,14065.270966,14125.186794,14176.794704,14236.754758,14358.483601,14390.322822,14360.714453,14445.952286,14756.483257,15361.401681
WC - West Coast District Municipality (DC1),Female,45-49,9140.798350,9551.599015,9967.599465,10363.971148,10737.843922,11083.042915,11350.918373,11606.968346,11915.392217,12281.078583,12577.755726,12905.550313,13245.390816,13495.472050,13662.172840,13740.875547,13833.969760,13889.917212,13944.578631,14025.358550
WC - West Coast District Municipality (DC1),Female,50-54,7571.857088,7684.716614,7849.195106,8042.492022,8289.857469,8552.126911,8905.994609,9278.485818,9663.461166,10041.074514,10435.038470,10764.168273,11071.206501,11406.630772,11776.783896,12100.507523,12445.219589,12784.531831,13036.264933,13151.706140
WC - West Coast District Municipality (DC1),Female,55-59,6321.740709,6489.387277,6613.194779,6731.944939,6862.320892,6968.635136,7056.390862,7201.248390,7407.417352,7679.295846,7962.696789,8337.069141,8723.863883,9109.508051,9480.687987,9871.525579,10207.084688,10526.974123,10880.136005,11201.437522
WC - West Coast District Municipality (DC1),Female,60-64,4395.595621,4598.262548,4869.512874,5133.549189,5368.172796,5573.404589,5739.507349,5864.619023,6006.754646,6165.586142,6319.736074,6450.293919,6618.967454,6818.516104,7067.508060,7333.819279,7689.440129,8056.056030,8422.619897,8693.698476
WC - West Coast District Municipality (DC1),Female,65-69,3672.044105,3608.308463,3546.624589,3534.911831,3582.229848,3684.164876,3871.761429,4100.591554,4341.859791,4573.992294,4784.782004,4971.613977,5140.340884,5310.131863,5478.357411,5588.938631,5680.028896,5819.769160,6003.351456,6158.618774
WC - West Coast District Municipality (DC1),Female,70-74,2547.127343,2666.342310,2761.061613,2802.491287,2791.120334,2741.081854,2684.129807,2654.946379,2702.278917,2806.649077,2950.562629,3137.144164,3339.877072,3530.213123,3712.428421,3865.805247,4016.672335,4148.384551,4265.216346,4309.396660
