Dis_code,Age,Sex,District,Local,Loc_Code,Province_Code,Dis_Cod,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
DC10,50-54,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1652.88455276872,1678.6287493177,1702.49093918746,1716.66503952961,1716.97514850359,1703.03361598718,1686.30113404291,1670.17327087757,1663.30508624288,1671.0258470279,1685.79832797908,1709.76539599378,1735.90372945786,1761.91727331528,1788.24287424213,1813.48728999441,1836.60235854793,1864.38827579207,1897.30660941128,1936.87598710233,1996.18737190001,2056.91843698562,2107.29709267322,2148.44238909531,2163.89026624147,2160.26960557318,2149.20242606674,2141.54697574558,2157.65360431989,2217.2113526239
DC10,55-59,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1308.9308642466,1303.96572823034,1307.58591181451,1319.14217275411,1338.86056005774,1362.49758409297,1385.28789823713,1408.52011517695,1427.86541809099,1440.34501714296,1444.40499266562,1447.19789237058,1450.9125323819,1460.84424093864,1480.67264285341,1505.16775948101,1536.0515663051,1568.04516614269,1601.62679747152,1625.35545200311,1658.4447433969,1694.59616179808,1737.2717603343,1786.28259873238,1849.75360028078,1923.91235967434,1997.78087850104,2062.25254584839,2117.3056640236,2147.48700603933
DC10,60-64,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1327.42631158676,1277.04012159723,1224.67558509742,1178.48070176499,1145.91814677996,1120.66704179491,1104.84041330572,1096.00804207844,1095.20292042789,1103.02005459371,1115.20914873295,1126.99594499284,1138.96949222184,1146.19598194577,1146.47076983726,1143.09726020895,1137.19431389413,1130.07960771194,1126.19703884285,1112.49145431358,1117.77460711473,1132.58607424074,1148.47031982176,1165.89423510114,1183.2650381935,1199.54403418697,1215.39402480088,1234.52967703553,1256.07729977816,1286.85674353435
DC10,65-69,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,1054.53568928618,1074.571171288,1095.11608266336,1100.74550018695,1085.42069392335,1056.44142282933,1019.62941905584,983.79123511126,956.156656674402,939.748679121362,928.284705006737,921.879202402445,918.959976849936,920.238710828695,927.427541476277,944.654979188113,961.891569930424,977.799067568042,988.054017803316,974.218049285971,969.975814771868,970.931213452717,973.990727369084,982.568063617654,995.903948934522,1011.36427061016,1030.65959681623,1051.0774141525,1073.2758928857,1097.37522757614
DC10,70-74,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,672.273717288313,661.903843948405,650.567087209089,647.424918271851,651.16999934491,661.323139050244,673.775153832427,683.288847393323,682.722063453377,669.367887076074,651.118288906257,630.425518403795,609.408991263985,589.451301522185,572.615594630072,557.112818549313,543.345160016899,533.534389535137,528.311577352182,515.285883809073,514.59792040359,516.851604226608,517.693706684511,516.171295451497,511.341777214012,502.592541654178,494.986733535005,488.808615130128,484.84854713757,483.322074635701
DC10,75+,Male,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,642.474393854232,644.079979502051,642.923666959593,638.875146532265,633.429143593227,623.614823315539,616.344928130728,613.969308411639,624.723397894552,647.723933393031,670.327611687212,692.534778004179,712.773558636035,729.302614573155,739.472022836226,759.174812007488,780.549832522619,800.397225840558,796.173813102475,787.31792308437,777.217718619351,775.080767553472,779.891900051245,792.319736986962,811.245052685495,814.490296232462,817.588105748949,820.755931009814,823.331173376733,825.07221484815
DC10,0-4,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,3889.00261200679,3866.20507099715,3875.82998476573,3913.52604339218,3971.76728430622,4093.47271691524,4235.8011875942,4340.0658397519,4410.70526109457,4444.88566259677,4402.76574266155,4284.06593610874,4106.68315286113,3880.43957829954,3632.98178707879,3423.76505545227,3262.93421733081,3150.00307574345,3080.95231917703,3042.56620917194,2979.71584403854,2897.45957771295,2802.22830726533,2695.81728622703,2586.88828683071,2536.95159110923,2480.00252424161,2415.65894456257,2345.29842970749,2273.38842510358
DC10,5-9,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,4061.68139077393,3956.11746118935,3882.73357190502,3822.65632186355,3769.78113238989,3727.35442508948,3715.47664804706,3744.03495221565,3812.46292866209,3912.04149111035,4066.62231528559,4244.49451898956,4384.02007618407,4487.65499277994,4521.00228401146,4482.18717263089,4386.49005847568,4238.35668507878,4048.54730875853,3856.92563495373,3712.49502759445,3602.34958478596,3512.64739146259,3439.1382274833,3370.45880802174,3286.30244606756,3208.99893225963,3142.84367959009,3081.5037393157,3018.27097849028
DC10,10-14,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,4499.29148434673,4426.96309768384,4348.23278165382,4283.18596544665,4235.70260975332,4145.49658338227,4058.93928096594,4008.22610332759,3978.08264841634,3962.50760436959,3920.59389927013,3919.15760215506,3976.89899723092,4096.28239233511,4270.7306777159,4462.70698394878,4696.17545978122,4901.26443878658,5064.23986657989,5146.66949173933,5083.12086580455,4978.27867268455,4853.59321052907,4723.51919937891,4607.26728084009,4473.97798465142,4377.47292066316,4303.03608575051,4254.91495408056,4236.04627336423
DC10,15-19,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,4045.85659053584,4098.43815470042,4133.46881208416,4143.24734505937,4095.79193951343,4007.69194054062,3918.06071760477,3823.03164781067,3744.9330035242,3687.87358845827,3572.550834814,3464.62621361516,3394.45286227597,3345.39925320697,3319.26582996217,3257.24352546978,3227.02764889883,3252.55210833002,3336.86320861708,3472.95675588421,3604.28585223435,3766.85950769449,3906.95678166494,4015.20871009487,4069.34370263416,4008.18552738631,3909.79122506493,3802.62725221525,3700.81190126007,3614.35257173393
DC10,20-24,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2878.21176537817,2977.47587500871,3097.64395363648,3214.2361276042,3320.97568642309,3352.97283603464,3361.47036451551,3359.55480835341,3343.82245809909,3286.03839618036,3187.31921309501,3075.91297724523,2963.64241111257,2866.42456241446,2787.62935837018,2691.42482521143,2586.75519153903,2504.68676652614,2432.57333241398,2369.82551789829,2319.6859236553,2277.5567775536,2267.55405552758,2295.91790549941,2360.83080612885,2479.90674580678,2602.85327680561,2692.70794808607,2744.58667640641,2750.4239526501
DC10,25-29,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2635.23357921293,2578.53937343535,2507.0056206235,2453.35383163491,2449.84951022209,2521.73536096055,2616.40043922578,2709.45300973647,2762.0379797067,2793.74285293303,2840.06510685702,2855.03864940692,2830.24331948341,2761.02353903035,2643.56982988283,2591.1436490399,2520.75879807577,2419.73924627043,2294.05318893489,2158.25087523186,2088.2818759196,2009.68967497336,1928.24000417247,1835.17189917423,1741.50535125466,1725.68714943611,1715.42452153285,1712.50087996288,1718.84821435725,1738.09300939169
DC10,30-34,Female,EC - Sarah Baartman District Municipality (DC10),EC101 : Dr Beyers Naude,EC101,EC,DC10,2763.03348760957,2765.58486992834,2767.88757311817,2763.85994778169,2749.53957187957,2706.84802177277,2639.86074690081,2597.24430748241,2590.47077706004,2631.26193810146,2695.39017892007,2791.51059578302,2907.0592329092,3012.96487095547,3094.59853356035,3129.46633391022,3145.67593311005,3152.91271313758,3140.16447085242,3064.76970494453,2974.80076234003,2874.94075490891,2772.55808226368,2679.8447682484,2589.90800424902,2497.96045777008,2407.73552779962,2344.0055544248,2295.3210878184,2251.17212423391
